Name	Description	SourceMTOverride	SampleMTOverride	Group	VNI subdivision	Characteristics[mating type]	Characteristics[country]	Characteristics [specimen]	Characteristics [health_status]	Characteristics [organism]	Characteristics [reference]	In GWAS	Phenotyped	Characteristics [fungus organism]	Characteristics [fungal strain]	Lineage	Fluconazole Ave+Std Dev	Paraquat Ave+Std Dev	H2O2	LDOPA Ave+Std Dev
Bt206	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		a	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt206	VNBII	0.037 +/- 0.033	0.653 +/- 0.358	0	0.234 +/- 0.052
Bt208	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt208	VNBII	0.064 +/- 0.078	0.943 +/- 0.113	0.145	0.242 +/- 0.047
Bt25	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt25	VNBII	0.015 +/- 0.021	1.013 +/- 0.168	0.053	0.266 +/- 0.006
Bt27	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt27	VNBII	0.000 +/- 0.000	0.470 +/- 0.354	0.387	0.318 +/- 0.062
Bt31	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt31	VNBII	0.024 +/- 0.031	0.954 +/- 0.051	0	0.637 +/- 0.117
Bt32	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt32	VNBII	0.000 +/- 0.000	0.977 +/- 0.069	0	0.427 +/- 0.175
Bt33	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt33	VNBII	0.379 +/- 0.132	0.894 +/- 0.099	0	0.255 +/- 0.011
Bt34	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt34	VNBII	0.166 +/- 0.234	0.488 +/- 0.437	0	0.369 +/- 0.034
Bt35	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt35	VNBII	0.084 +/- 0.092	0.643 +/- 0.218	0	0.310 +/- 0.016
Bt38	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt38	VNBII	0.457 +/- 0.220	1.032 +/- 0.062	0.45	0.305 +/- 0.107
Bt39	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt39	VNBII	0.481 +/- 0.279	0.995 +/- 0.173	0.076	0.239 +/- 0.002
Bt40	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt40	VNBII	0.100 +/- 0.141	0.839 +/- 0.096	0.334	0.258 +/- 0.010
Bt41	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt41	VNBII	0.208 +/- 0.127	0.761 +/- 0.208	0	0.288 +/- 0.035
Bt46	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt46	VNBII	0.000 +/- 0.000	0.366 +/- 0.373	0	0.240 +/- 0.030
Bt5	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt5	VNBII	0.004 +/- 0.006	0.056 +/- 0.097	0.018	0.344 +/- 0.028
Bt52	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt52	VNBII	0.027 +/- 0.037	0.829 +/- 0.134	0.498	0.226 +/- 0.029
Bt53	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt53	VNBII	0.000 +/- 0.000	0.000 +/- 0.000	0	0.339 +/- 0.124
Bt54	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt54	VNBII	0.391 +/- 0.220	0.866 +/- 0.103	0	0.226 +/- 0.073
Bt55	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt55	VNBII	0.000 +/- 0.000	0.157 +/- 0.273	0	0.317 +/- 0.107
Bt56	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt56	VNBII	0.006 +/- 0.009	0.168 +/- 0.164	0	0.158 +/- 0.038
Bt65	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		a	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt65	VNBII	0.683 +/- 0.065	0.364 +/- 0.133	0	0.161 +/- 0.045
Bt75	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt75	VNBII	0.278 +/- 0.131	0.116 +/- 0.201	0	0.629 +/- 0.099
Bt76	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt76	VNBII	0.000 +/- 0.000	1.067 +/- 0.016	0	0.218 +/- 0.052
Bt81	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		a	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt81	VNBII	0.492 +/- 0.475	0.199 +/- 0.173	0.345	0.263 +/- 0.046
Bt84	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt84	VNBII	0.000 +/- 0.000	0.492 +/- 0.443	0.373	0.404 +/- 0.020
Bt88	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		a	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt88	VNBII	0.002 +/- 0.003	0.549 +/- 0.174	0.153	0.192 +/- 0.039
Bt89	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt89	VNBII	0.803 +/- 0.257	0.336 +/- 0.399	0.627	0.272 +/- 0.008
Bt98	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt98	VNBII	0.000 +/- 0.000	0.532 +/- 0.392	0.22	0.210 +/- 0.018
LP-RSA3144	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	S. Africa	specimen from organism		Human	Litvintseva et al 2011 PLoS One	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii LP-RSA3144	VNBII	0.355 +/- 0.503	0.229 +/- 0.346	0.189	0.264 +/- 0.069
MW-RSA1186	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA1186	VNBII	0.135 +/- 0.187	0.810 +/- 0.152	0.482	0.213 +/- 0.033
MW-RSA1607	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA1607	VNBII	0.303 +/- 0.363	0.469 +/- 0.267	0	0.264 +/- 0.033
MW-RSA2967	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA2967	VNBII	0.322 +/- 0.449	0.000 +/- 0.000	0	0.199 +/- 0.030
MW-RSA3179	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA3179	VNBII	1.111 +/- 0.240	0.627 +/- 0.322	0.341	0.304 +/- 0.112
MW-RSA3321	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA3321	VNBII	0.506 +/- 0.716	0.459 +/- 0.458	0.461	0.212 +/- 0.069
MW-RSA913	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	S. Africa	specimen from organism		Human	Van Wyk et al Ê2014 J. Clin. Microbiol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii MW-RSA913	VNBII	0.001 +/- 0.001	0.349 +/- 0.387	0	0.196 +/- 0.042
Muc387-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc387-1	VNBII	0.025 +/- 0.035	0.598 +/- 0.286	0.209	0.157 +/- 0.018
Muc387-2	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc387-2	VNBII	0.006 +/- 0.009	0.417 +/- 0.355	0.25	0.280 +/- 0.021
NRHc5008.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		a	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5008.ENR	VNBII	0.024 +/- 0.033	0.679 +/- 0.592	0.001	0.209 +/- 0.057
NRHc5014.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		a	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5014.ENR	VNBII	0.064 +/- 0.091	0.502 +/- 0.344	0.59	0.182 +/- 0.045
NRHc5031.ENR.CLIN.ISO	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5031.ENR.CLIN.ISO	VNBII	0.064 +/- 0.073	0.333 +/- 0.391	0.033	0.220 +/- 0.019
PMHc1002.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1002.ENR	VNBII	0.121 +/- 0.171	0.338 +/- 0.438	0.375	0.204 +/- 0.021
PMHc1009.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1009.ENR	VNBII	0.296 +/- 0.171	0.924 +/- 0.166	0.283	0.150 +/- 0.004
PMHc1024.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		a	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1024.ENR	VNBII	0.065 +/- 0.091	0.324 +/- 0.367	0.373	0.680 +/- 0.096
PMHc1029.ENR.STOR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1029.ENR.STOR	VNBII	0.000 +/- 0.000	0.031 +/- 0.053	0	0.263 +/- 0.086
PMHc1033.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1033.ENR	VNBII	0.543 +/- 0.313	0.936 +/- 0.226	0.004	0.141 +/- 0.045
PMHc1035.ENR.STOR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1035.ENR.STOR	VNBII	0.000 +/- 0.000	0.286 +/- 0.267	0.059	0.407 +/- 0.071
PMHc1047.ENR.CLIN1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1047.ENR.CLIN1	VNBII	0.529 +/- 0.673	0.385 +/- 0.334	0.042	0.526 +/- 0.398
PMHc1049.THER1.STOR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1049.THER1.STOR	VNBII	0.069 +/- 0.084	0.699 +/- 0.264	0	0.194 +/- 0.081
PMHc1052.ENR.STOR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		a	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1052.ENR.STOR	VNBII	0.261 +/- 0.182	0.923 +/- 0.135	0.384	0.262 +/- 0.048
Ze90-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	S. Africa	Eucalyptus tree		Eucalyptus tree	Litvintseva et al 2011 PLoS One	Yes	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Ze90-1					
125.91	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	a	Tanzania	specimen from organism		Human	Litvintseva et al 2011 PLoS One, Litvintseva et al 2007 PLoS Pathogens	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii 125.91					
A1-35-8	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	USA	feces		pigeon	Litvintseva et al 2009 Infect Immun, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii A1-35-8	VNI control	0.067 +/- 0.062	0.909 +/- 0.179	0.372	0.223 +/- 0.020
A1-84-14	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	USA	feces		pigeon	Litvintseva et al 2009 Infect Immun, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii A1-84-14					
A2-102-5	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	USA	feces		pigeon	Litvintseva et al 2009 Infect Immun, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii A2-102-5					
A3-1-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	USA	feces		pigeon	Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii A3-1-1					
A3-38-20	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	USA	feces		pigeon	Litvintseva et al 2009 Infect Immun, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii A3-38-20					
A4-1-12	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	USA	feces		pigeon	Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii A4-1-12					
A4-34-6	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	USA	feces		pigeon	Litvintseva et al 2009 Infect Immun, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii A4-34-6					
A5-35-17	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	USA	feces		pigeon	Litvintseva et al 2009 Infect Immun, Litvintseva et al 2006 Genetics	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii A5-35-17					
AD1-68a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD1-68a					
AD1-86a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD1-86a					
AD1-90a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD1-90a					
AD1-95a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD1-95a					
AD1-7a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD1-7a					
AD1-83a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD1-83a					
AD2-04a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD2-04a					
AD2-6a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD2-6a					
AD2-82a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD2-82a					
AD2-99a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD2-99a					
AD2-60a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD2-60a					
AD3-41a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD3-41a					
AD3-55a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD3-55a					
AD3-58	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD3-58					
AD3-83a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD3-83a					
AD3-95a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD3-95a					
AD4-47a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD4-47a					
AD4-63a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD4-63a					
AD4-76a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD4-76a					
AD4-92a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD4-92a					
AD5-39a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD5-39a					
AD5-45a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD5-45a					
AD5-53a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIa	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD5-53a					
AD6-54a	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNI	VNIb	_	France 	specimen from organism		Human	Dromer et al 2007 PLoS Med	No	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii AD6-54a					
